country,education_expense,legal_rights,parliament_female
Afghanistan,3.54891002178192,9,27.7
Argentina,5.3254899978637695,2,36.2
Armenia,2.5300549268722503,5,10.699999999999998
Australia,5.22533988952637,11,27.133333333333336
Austria,5.49954986572266,5,31.133333333333336
Azerbaijan,2.63466000556946,2,16.433333333333334
Bahrain,2.56777000427246,1,7.5
Bangladesh,1.92633998394012,5,19.933333333333334
Barbados,6.57329988479614,7,16.7
Belarus,4.9690449237823495,2,29.46666666666667
Belgium,6.585140228271482,4,39.3
Belize,6.42583990097046,4,3.1
Benin,4.340245008468625,6,7.6
Bhutan,6.643145084381106,4,8.5
Bolivia,7.28545999526978,0,53.1
Brunei Darussalam,3.8892998695373553,4,6.5
Burkina Faso,4.333500146865846,6,12.566666666666668
Cambodia,1.90197002887726,11,20.3
Caribbean small states,5.743314981460575,5,19.101327408247197
Central Europe and the Baltics,4.7855498790740905,7,19.903108454168933
Chile,4.836680173873906,4,15.800000000000002
Colombia,4.57520008087158,12,19.9
Comoros,4.6059548854827845,6,3.0
Costa Rica,7.05162501335144,7,33.3
Cote d'Ivoire,4.881800174713135,6,9.266666666666666
Cyprus,6.138390064239499,7,14.3
Ecuador,5.105045080184935,1,41.6
El Salvador,3.49681496620178,7,30.53333333333333
Estonia,5.4816398620605495,7,22.2
Euro area,5.3834400177002,4,30.2250789478155
Europe & Central Asia,5.1255898475647,5,25.739587187142963
European Union,5.285240173339839,5,28.17656884549244
Finland,7.1680998802185085,7,41.833333333333336
Gabon,2.66616988182068,6,14.466666666666667
Germany,4.952189922332759,6,36.5
Ghana,6.17854976654053,7,10.9
Guatemala,2.948845028877256,9,13.7
Guinea,3.2081699371337904,6,21.899999999999995
High income,5.1754648685455305,5,26.40292002290957
Hungary,4.65934991836548,10,10.1
Indonesia,3.43520998954773,5,17.033333333333335
"Iran, Islamic Rep.",2.9415899515152004,2,4.033333333333333
Israel,5.75726985931396,6,25.3
Italy,4.07985019683838,2,31.133333333333336
Jamaica,5.743314981460575,9,14.3
Japan,3.59184002876282,4,9.033333333333333
Kazakhstan,2.7874999046325697,3,26.16666666666667
Kenya,5.2743351459503165,7,19.5
"Korea, Rep.",5.05211019515991,5,16.53333333333333
Kyrgyz Republic,5.52737998962402,8,20.566666666666666
Lao PDR,3.32011008262634,6,25.83333333333333
Latin America & Caribbean (excluding high income),5.28017497062683,4,29.117680666771136
Latin America & the Caribbean (IDA & IBRD countries),5.24687004089355,4,24.613759355499297
Latvia,5.285240173339839,9,18.0
Low income,3.98130011558533,5,23.6550752141399
Luxembourg,4.08387994766235,3,28.3
Malawi,5.22526478767395,6,16.7
Malaysia,5.08114504814148,7,10.4
Maldives,4.685234785079954,2,5.900000000000001
Mali,3.73928999900818,6,9.033333333333333
Mauritius,4.901559829711915,6,14.0
Mexico,5.31347990036011,9,40.73333333333333
"Micronesia, Fed. Sts.",12.467749595642099,11,0.0
Moldova,7.467840194702151,8,20.466666666666672
Nepal,3.84673011302948,6,29.53333333333333
Netherlands,5.52937984466553,3,37.766666666666666
New Zealand,6.35284495353699,12,30.866666666666664
Niger,6.70941019058228,6,13.733333333333334
North America,5.380780220031741,10,22.095503540354468
OECD members,5.285240173339839,6,27.7087820476372
Other small states,5.19968485832215,4,18.280257631544604
Pakistan,2.55554497241974,3,20.633333333333336
Peru,3.8342150449752794,8,24.1
Poland,4.91174983978271,7,26.366666666666664
Portugal,5.1255898475647,2,33.63333333333333
Post-demographic dividend,5.22533988952637,5,28.4321770254706
Qatar,3.60718989372253,1,0.0
Romania,3.12917995452881,10,13.633333333333333
Rwanda,3.707400083541875,11,63.79999999999999
Sao Tome and Principe,3.7568199634552,0,18.2
Senegal,7.39620018005371,6,42.9
Serbia,4.17860984802246,6,34.0
Sierra Leone,2.6616699695587203,5,12.3
Slovak Republic,4.23856019973755,7,19.133333333333336
Small states,5.4816398620605495,5,16.553940573534668
South Africa,6.0295500755310085,5,41.766666666666666
South Asia,3.052227497100835,4,19.317689131016298
South Asia (IDA & IBRD),3.052227497100835,4,19.317689131016298
South Sudan,1.6881733338038132,2,27.16666666666667
Spain,4.27092981338501,5,39.96666666666667
Sri Lanka,2.0523900389671352,2,5.5
St. Kitts and Nevis,2.7842400074005096,5,11.1
St. Lucia,4.899405002593994,5,16.7
Swaziland,7.04999017715454,4,6.2
Sweden,7.67508983612061,6,43.96666666666667
Switzerland,5.0960798263549805,6,31.66666666666667
Tajikistan,5.23215007781982,1,18.3
Tanzania,3.47914004325867,5,36.2
Timor-Leste,7.775000095367429,0,38.5
Togo,5.04317998886108,6,17.6
Uganda,2.21387004852295,6,34.5
Ukraine,5.863540172576902,8,11.933333333333332
United Kingdom,5.7093799114227295,7,27.2
United States,5.380780220031741,11,19.366666666666664
Vanuatu,5.2303500175476065,10,0.0
Zimbabwe,8.42932987213135,5,31.5
